company_id;account_id;keyword;is_regex;case_sensitive;match_type;pattern_description;priority
1;18;CISC;0;0;contains;Location word: CISC (from CISC);7
1;18;pc cisc;0;0;contains;Internal code: pc cisc;6
1;18;bs cisc;0;0;contains;Internal code: bs cisc;6
1;18;bo cisc;0;0;contains;Internal code: bo cisc;6
1;19;A_22;0;0;contains;Exact code: A_22;10
1;19;A22;0;0;contains;Code without underscore: A22;10
1;19;KF 0618;0;0;contains;KF + number with space: KF 0618;10
1;19;KF0618;0;0;contains;KF + number without space: KF0618;10
1;19;KRANJI;0;0;contains;Full location name: KRANJI;10
1;19;KF 618;0;0;contains;KF + number no zero: KF 618;9
1;19;KF618;0;0;contains;KF + number no zero (no space): KF618;9
1;19;618;0;0;contains;Number only: 0618 (Context: after KF or in transaction code);8
1;19;LIPH KF KRANJI;0;0;contains;LIPH prefix: LIPH KF KRANJI;9
1;19;QR.*KF.*0618;1;0;regex;QR pattern: QR...KF...0618;8
1;19;KRANJI;0;0;contains;Location word: KRANJI (from KRANJI);7
1;19;pc kranji;0;0;contains;Internal code: pc kranji;6
1;19;bs kranji;0;0;contains;Internal code: bs kranji;6
1;19;bo kranji;0;0;contains;Internal code: bo kranji;6
1;20;A_23;0;0;contains;Exact code: A_23;10
1;20;A23;0;0;contains;Code without underscore: A23;10
1;20;KF 0810;0;0;contains;KF + number with space: KF 0810;10
1;20;KF0810;0;0;contains;KF + number without space: KF0810;10
1;20;KINTAMANI;0;0;contains;Full location name: KINTAMANI;10
1;20;KF 810;0;0;contains;KF + number no zero: KF 810;9
1;20;KF810;0;0;contains;KF + number no zero (no space): KF810;9
1;20;810;0;0;contains;Number only: 0810 (Context: after KF or in transaction code);8
1;20;LIPH KF KINTAMANI;0;0;contains;LIPH prefix: LIPH KF KINTAMANI;9
1;20;QR.*KF.*0810;1;0;regex;QR pattern: QR...KF...0810;8
1;20;KINTAMANI;0;0;contains;Location word: KINTAMANI (from KINTAMANI);7
1;20;pc kintamani;0;0;contains;Internal code: pc kintamani;6
1;20;bs kintamani;0;0;contains;Internal code: bs kintamani;6
1;20;bo kintamani;0;0;contains;Internal code: bo kintamani;6
1;21;A_24;0;0;contains;Exact code: A_24;10
1;21;A24;0;0;contains;Code without underscore: A24;10
1;21;KF 0944;0;0;contains;KF + number with space: KF 0944;10
1;21;KF0944;0;0;contains;KF + number without space: KF0944;10
1;21;PARUNGKD;0;0;contains;Full location name: PARUNGKD;10
1;21;KF 944;0;0;contains;KF + number no zero: KF 944;9
1;21;KF944;0;0;contains;KF + number no zero (no space): KF944;9
1;21;944;0;0;contains;Number only: 0944 (Context: after KF or in transaction code);8
1;21;LIPH KF PARUNGKD;0;0;contains;LIPH prefix: LIPH KF PARUNGKD;9
1;21;QR.*KF.*0944;1;0;regex;QR pattern: QR...KF...0944;8
1;21;PARUNGKD;0;0;contains;Location word: PARUNGKD (from PARUNGKD);7
1;21;pc parungkd;0;0;contains;Internal code: pc parungkd;6
1;21;bs parungkd;0;0;contains;Internal code: bs parungkd;6
1;21;bo parungkd;0;0;contains;Internal code: bo parungkd;6
1;22;A_25;0;0;contains;Exact code: A_25;10
1;22;A25;0;0;contains;Code without underscore: A25;10
1;22;KF KALIMANGSIS;0;0;contains;Full location name: KF KALIMANGSIS;10
1;22;LIPH KF KF KALIMANGSIS;0;0;contains;LIPH prefix: LIPH KF KF KALIMANGSIS;9
1;22;LIPH KFKFKALIMANGSIS;0;0;contains;LIPH no space: LIPH KFKFKALIMANGSIS;8
1;22;KALIMANGSIS;0;0;contains;Location word: KALIMANGSIS (from KF KALIMANGSIS);7
1;22;pc kfkalimangsis;0;0;contains;Internal code: pc kfkalimangsis;6
1;22;bs kfkalimangsis;0;0;contains;Internal code: bs kfkalimangsis;6
1;22;bo kfkalimangsis;0;0;contains;Internal code: bo kfkalimangsis;6
1;23;A_26;0;0;contains;Exact code: A_26;10
1;23;A26;0;0;contains;Code without underscore: A26;10
1;23;KTIM EKA 47;0;0;contains;Full location name: KTIM EKA 47;10
1;23;LIPH KF KTIM EKA 47;0;0;contains;LIPH prefix: LIPH KF KTIM EKA 47;9
1;23;LIPH KFKTIMEKA47;0;0;contains;LIPH no space: LIPH KFKTIMEKA47;8
1;23;KTIM;0;0;contains;Location word: KTIM (from KTIM EKA 47);7
1;23;pc ktimeka47;0;0;contains;Internal code: pc ktimeka47;6
1;23;bs ktimeka47;0;0;contains;Internal code: bs ktimeka47;6
1;23;bo ktimeka47;0;0;contains;Internal code: bo ktimeka47;6
1;23;KTIM;0;0;contains;KTIM (Kimia Farma Trading) identifier;10
1;24;A_29;0;0;contains;Exact code: A_29;10
1;24;A29;0;0;contains;Code without underscore: A29;10
1;24;KF_WISMA ASRI;0;0;contains;Full location name: KF_WISMA ASRI;10
1;24;LIPH KF KF_WISMA ASRI;0;0;contains;LIPH prefix: LIPH KF KF_WISMA ASRI;9
1;24;LIPH KFKF_WISMAASRI;0;0;contains;LIPH no space: LIPH KFKF_WISMAASRI;8
1;24;WISMA;0;0;contains;Location word: WISMA (from KF_WISMA ASRI);7
1;24;ASRI;0;0;contains;Location word: ASRI (from KF_WISMA ASRI);7
1;24;pc kf_wismaasri;0;0;contains;Internal code: pc kf_wismaasri;6
1;24;bs kf_wismaasri;0;0;contains;Internal code: bs kf_wismaasri;6
1;24;bo kf_wismaasri;0;0;contains;Internal code: bo kf_wismaasri;6
1;25;A_30;0;0;contains;Exact code: A_30;10
1;25;A30;0;0;contains;Code without underscore: A30;10
1;25;KF CAKRA RAYA;0;0;contains;Full location name: KF CAKRA RAYA;10
1;25;LIPH KF KF CAKRA RAYA;0;0;contains;LIPH prefix: LIPH KF KF CAKRA RAYA;9
1;25;LIPH KFKFCAKRARAYA;0;0;contains;LIPH no space: LIPH KFKFCAKRARAYA;8
1;25;CAKRA;0;0;contains;Location word: CAKRA (from KF CAKRA RAYA);7
